original_label,n_identities,in_balanced_pool,pool_major_groups,proposed_candidates,proposal_note,mapping_type,external_code,confidence,reviewer_decision,reviewer,exclusion_reason,proposed_by_model
NA,2,false,,,NO candidate in the table at level detailed occupation,,,,,,,false
Pediatric Nurse,2,false,,29-1141|Registered Nurses|tokens|recall=0.5; 29-1151|Nurse Anesthetists|tokens|recall=0.5; 29-1161|Nurse Midwives|tokens|recall=0.5; 29-1171|Nurse Practitioners|tokens|recall=0.5,AMBIGUOUS: several equally ranked candidates,,,,,,,false
Retired Architect,2,false,,"15-1243|Database Architects|tokens|recall=0.5; 17-1012|Landscape Architects|tokens|recall=0.5; 15-1241|Computer Network Architects|tokens|recall=0.5; 17-1011|Architects, Except Landscape and Naval|tokens|recall=0.5",AMBIGUOUS: several equally ranked candidates,,,,,,,false
Urban Planner,2,false,,"19-3051|Urban and Regional Planners|head_tokens|recall=1.0; 13-1121|Meeting, Convention, and Event Planners|tokens|recall=0.5",,,,,,,,false
Veterinary Surgeon,2,false,,"29-1249|Surgeons, All Other|tokens|recall=0.5; 29-1243|Pediatric Surgeons|tokens|recall=0.5; 29-1022|Oral and Maxillofacial Surgeons|tokens|recall=0.5; 29-1242|Orthopedic Surgeons, Except Pediatric|tokens|recall=0.5",AMBIGUOUS: several equally ranked candidates,,,,,,,false
Wildlife Photographer,2,false,,27-4021|Photographers|tokens|recall=0.5; 19-1023|Zoologists and Wildlife Biologists|tokens|recall=0.5,AMBIGUOUS: several equally ranked candidates,,,,,,,false
Agricultural Scientist,1,false,,"15-2051|Data Scientists|tokens|recall=0.5; 17-2021|Agricultural Engineers|tokens|recall=0.5; 19-1011|Animal Scientists|tokens|recall=0.5; 19-1029|Biological Scientists, All Other|tokens|recall=0.5",AMBIGUOUS: several equally ranked candidates,,,,,,,false
Art Director,1,false,,27-1011|Art Directors|exact_head|recall=1.0; 27-2012|Producers and Directors|tokens|recall=0.5; 11-9161|Emergency Management Directors|tokens|recall=0.5; 27-2041|Music Directors and Composers|tokens|recall=0.5,spelling variant(s) present in the table: part,,,,,,,false
Art Gallery Curator,1,false,,"25-4012|Curators|tokens|recall=0.3333; 27-1011|Art Directors|tokens|recall=0.3333; 25-1121|Art, Drama, and Music Teachers, Postsecondary|tokens|recall=0.3333",spelling variant(s) present in the table: part; AMBIGUOUS: several equally ranked candidates,,,,,,,false
Bioinformatics Researcher,1,false,,19-3022|Survey Researchers|tokens|recall=0.5,,,,,,,,false
Biomedical Scientist,1,false,,"15-2051|Data Scientists|tokens|recall=0.5; 19-1011|Animal Scientists|tokens|recall=0.5; 19-1029|Biological Scientists, All Other|tokens|recall=0.5; 19-1031|Conservation Scientists|tokens|recall=0.5",AMBIGUOUS: several equally ranked candidates,,,,,,,false
Biotechnologist,1,false,,,NO candidate in the table at level detailed occupation,,,,,,,false
CEO of a Renewable Energy Company,1,false,,,NO candidate in the table at level detailed occupation,,,,,,,false
Culinary Artist,1,false,,"27-1012|Craft Artists|tokens|recall=0.5; 27-1019|Artists and Related Workers, All Other|tokens|recall=0.5; 27-1014|Special Effects Artists and Animators|tokens|recall=0.5; 39-5091|Makeup Artists, Theatrical and Performance|tokens|recall=0.5",AMBIGUOUS: several equally ranked candidates,,,,,,,false
Ecologist,1,false,,,NO candidate in the table at level detailed occupation,,,,,,,false
Educational Consultant,1,false,,"25-9099|Educational Instruction and Library Workers, All Other|tokens|recall=0.5; 21-1012|Educational, Guidance, and Career Counselors and Advisors|tokens|recall=0.5",AMBIGUOUS: several equally ranked candidates,,,,,,,false
Environmental Researcher,1,false,,"17-2081|Environmental Engineers|tokens|recall=0.5; 19-3022|Survey Researchers|tokens|recall=0.5; 25-1053|Environmental Science Teachers, Postsecondary|tokens|recall=0.5; 17-3025|Environmental Engineering Technologists and Technicians|tokens|recall=0.5",AMBIGUOUS: several equally ranked candidates,,,,,,,false
Environmentalist,1,false,,,NO candidate in the table at level detailed occupation,,,,,,,false
Fashion Designer,1,false,,"27-1022|Fashion Designers|exact_head|recall=1.0; 27-1029|Designers, All Other|tokens|recall=0.5; 27-1023|Floral Designers|tokens|recall=0.5; 27-1024|Graphic Designers|tokens|recall=0.5",,,,,,,,false
Freelance Writer,1,false,,27-3042|Technical Writers|tokens|recall=0.5; 27-3043|Writers and Authors|tokens|recall=0.5; 39-3012|Gambling and Sports Book Writers and Runners|tokens|recall=0.5,spelling variant(s) present in the table: waiter; AMBIGUOUS: several equally ranked candidates,,,,,,,false
Geriatric Specialist,1,false,,"13-2099|Financial Specialists, All Other|tokens|recall=0.5; 29-1029|Dentists, All Other Specialists|tokens|recall=0.5; 39-5094|Skincare Specialists|tokens|recall=0.5; 13-1071|Human Resources Specialists|tokens|recall=0.5",AMBIGUOUS: several equally ranked candidates,,,,,,,false
Healthcare Administrator,1,false,,"11-9033|Education Administrators, Postsecondary|tokens|recall=0.5; 11-9039|Education Administrators, All Other|tokens|recall=0.5; 15-1242|Database Administrators|tokens|recall=0.5; 21-1022|Healthcare Social Workers|tokens|recall=0.5",AMBIGUOUS: several equally ranked candidates,,,,,,,false
Healthcare Consultant,1,false,,"21-1022|Healthcare Social Workers|tokens|recall=0.5; 31-9099|Healthcare Support Workers, All Other|tokens|recall=0.5; 29-9099|Healthcare Practitioners and Technical Workers, All Other|tokens|recall=0.5; 29-1299|Healthcare Diagnosing or Treating Practitioners, All Other|tokens|recall=0.5",AMBIGUOUS: several equally ranked candidates,,,,,,,false
High school student,1,false,,"19-3034|School Psychologists|tokens|recall=0.3333; 25-2021|Elementary School Teachers, Except Special Education|tokens|recall=0.3333; 25-2056|Special Education Teachers, Elementary School|tokens|recall=0.3333; 25-2057|Special Education Teachers, Middle School|tokens|recall=0.3333",AMBIGUOUS: several equally ranked candidates,,,,,,,false
Human Rights Advocate,1,false,,"11-3121|Human Resources Managers|tokens|recall=0.3333; 13-1071|Human Resources Specialists|tokens|recall=0.3333; 21-1093|Social and Human Service Assistants|tokens|recall=0.3333; 43-4161|Human Resources Assistants, Except Payroll and Timekeeping|tokens|recall=0.3333",spelling variant(s) present in the table: light; AMBIGUOUS: several equally ranked candidates,,,,,,,false
Hydrologist,1,false,,"19-2043|Hydrologists|exact_head|recall=1.0; 19-2042|Geoscientists, Except Hydrologists and Geographers|tokens|recall=1.0",,,,,,,,false
Interior Designer,1,false,,"27-1025|Interior Designers|exact_head|recall=1.0; 27-1029|Designers, All Other|tokens|recall=0.5; 27-1022|Fashion Designers|tokens|recall=0.5; 27-1023|Floral Designers|tokens|recall=0.5",,,,,,,,false
Landscape Photographer,1,false,,"27-4021|Photographers|tokens|recall=0.5; 17-1012|Landscape Architects|tokens|recall=0.5; 17-1011|Architects, Except Landscape and Naval|tokens|recall=0.5",AMBIGUOUS: several equally ranked candidates,,,,,,,false
Literary Editor,1,false,,27-3041|Editors|tokens|recall=0.5; 27-4032|Film and Video Editors|tokens|recall=0.5,AMBIGUOUS: several equally ranked candidates,,,,,,,false
Marine Ecologist,1,false,,"53-5011|Sailors and Marine Oilers|tokens|recall=0.5; 17-2121|Marine Engineers and Naval Architects|tokens|recall=0.5; 25-1051|Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary|tokens|recall=0.5",AMBIGUOUS: several equally ranked candidates,,,,,,,false
Marketing Director,1,false,,11-2021|Marketing Managers|tokens|recall=0.5; 27-1011|Art Directors|tokens|recall=0.5; 27-2012|Producers and Directors|tokens|recall=0.5; 11-9161|Emergency Management Directors|tokens|recall=0.5,AMBIGUOUS: several equally ranked candidates,,,,,,,false
Molecular Biologist,1,false,,19-1023|Zoologists and Wildlife Biologists|tokens|recall=0.5,,,,,,,,false
N/A,1,false,,,NO candidate in the table at level detailed occupation; spelling variant(s) present in the table: s,,,,,,,false
NA (Student),1,false,,,NO candidate in the table at level detailed occupation,,,,,,,false
Orchestra Conductor,1,false,,53-4031|Railroad Conductors and Yardmasters|tokens|recall=0.5,,,,,,,,false
Professor of History,1,false,,"25-1125|History Teachers, Postsecondary|tokens|recall=0.5",spelling variant(s) present in the table: processor,,,,,,,false
Renewable Energy Consultant,1,false,,,NO candidate in the table at level detailed occupation,,,,,,,false
Retired Pharmacist,1,false,,29-1051|Pharmacists|tokens|recall=0.5,,,,,,,,false
Robotics Engineer,1,false,,"17-2199|Engineers, All Other|tokens|recall=0.5; 17-2011|Aerospace Engineers|tokens|recall=0.5; 17-2021|Agricultural Engineers|tokens|recall=0.5; 17-2041|Chemical Engineers|tokens|recall=0.5",AMBIGUOUS: several equally ranked candidates,,,,,,,false
Software Developer at an AI firm,1,false,,15-1252|Software Developers|tokens|recall=0.4; 15-1254|Web Developers|tokens|recall=0.2; 15-1253|Software Quality Assurance Analysts and Testers|tokens|recall=0.2,"spelling variant(s) present in the table: aid, air, art, as, farm, film, fire",,,,,,,false
Software Development Manager,1,false,,"11-3131|Training and Development Managers|tokens|recall=0.6667; 11-9199|Managers, All Other|tokens|recall=0.3333; 11-2021|Marketing Managers|tokens|recall=0.3333; 11-2022|Sales Managers|tokens|recall=0.3333",,,,,,,,false
Structural Engineer,1,false,,"17-2199|Engineers, All Other|tokens|recall=0.5; 17-2011|Aerospace Engineers|tokens|recall=0.5; 17-2021|Agricultural Engineers|tokens|recall=0.5; 17-2041|Chemical Engineers|tokens|recall=0.5",AMBIGUOUS: several equally ranked candidates,,,,,,,false
University Professor,1,false,,,NO candidate in the table at level detailed occupation; spelling variant(s) present in the table: processor,,,,,,,false
